trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.01, 'e': 0.37908303810339883}",35,22,11.533589784812952,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.37531109885139957}",35,6,-26.456254218515806,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.3715766910220457}",20,7,-36.38471006101202,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.36787944117144233}",35,0,-24.020605095105104,"{0: 30, 1: 0, 2: 3, 3: 2, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.3642189795715233}",20,8,23.137799671669782,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.3605949401730783}",20,0,-56.263775703644036,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.3570069605691474}",20,0,3.8113267234478196,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
105,False,"{'a': 0.01, 'e': 0.35345468195878016}",20,0,-60.226476205812375,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.3499377491111553}",20,0,-19.285407597810536,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
107,False,"{'a': 0.01, 'e': 0.3464558103300574}",20,0,12.729944705439395,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
108,False,"{'a': 0.01, 'e': 0.34300851741870664}",20,0,8.963108326550259,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.3395955256449391}",25,0,-5.6691614182094145,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.33621649370673334}",20,11,-27.441755352885796,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.33287108369807955}",25,18,9.599663957522479,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.32955896107518906}",35,13,-29.260269841504485,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.32627979462303947}",35,9,6.419641024306387,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.3230332564222529}",30,15,5.031056540094395,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31981902181630384}",20,0,-4.084893141583644,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
116,False,"{'a': 0.01, 'e': 0.31663676937905316}",20,8,-13.632433833328166,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3134861808826053}",20,3,33.88510878786399,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.31036694126548503}",20,0,-31.868912133986562,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
119,False,"{'a': 0.01, 'e': 0.30727873860113125}",20,4,-14.789802930176092,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.3042212640667041}",25,0,-30.48914148793472,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.01, 'e': 0.30119421191220214}",30,0,-40.25286018685523,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
122,False,"{'a': 0.01, 'e': 0.2981972794298874}",30,0,-80.35114206704138,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
123,False,"{'a': 0.01, 'e': 0.2952301669240142}",20,6,-27.81128204463146,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.2922925776808594}",20,0,-42.81144429968958,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.2893842179390506}",25,8,-3.077101018929522,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.2865047968601901}",20,8,11.444488042901499,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.2836540264997704}",30,0,-16.15013275275695,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
128,False,"{'a': 0.01, 'e': 0.2808316217783798}",25,8,19.312953066748992,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.27803730045319414}",25,2,-33.53247694822517,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
130,False,"{'a': 0.01, 'e': 0.27527078308975234}",25,14,-44.875170583735084,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.01, 'e': 0.2725317930340126}",25,0,-22.381171219140512,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.2698200563846868}",30,11,31.280258096538084,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.26713530196585034}",20,14,-38.3307914004875,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.01, 'e': 0.26447726129982396}",25,0,-30.289489774302552,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
135,False,"{'a': 0.01, 'e': 0.261845668580326}",25,17,-38.17759679498112,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'a': 0.01, 'e': 0.2592402606458915}",30,10,-66.60694972565965,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",1
137,False,"{'a': 0.01, 'e': 0.2566607769535559}",30,14,27.168732594185965,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.25410695955280027}",20,6,24.540553624123735,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.25157855305975646}",20,12,-9.097030914023923,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.24907530463166816}",20,2,16.593263735963426,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.24659696394160643}",25,7,-14.61082558540702,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,0,-32.37489429339094,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
143,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,2,-7.617007205494163,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23930892224375455}",35,17,-52.600201015922146,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
145,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,15,7.685565201285439,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,7,-57.60729263588159,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
147,False,"{'a': 0.01, 'e': 0.23223627472975883}",20,15,10.700722387238672,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
